name,0,1,2,3,4,5,6,7,8,9,Mean_pk,Std_pk
conv_re_conv_se_add_0.8,0.289,0.201,0.306,0.267,0.32899999999999996,0.23399999999999999,0.301,0.32299999999999995,0.251,0.253,0.2754,0.03915660863762334
rico_seq2seq_add_0.9,0.35700000000000004,0.384,0.336,0.429,0.369,0.337,0.35,0.35100000000000003,0.33299999999999996,0.384,0.36300000000000004,0.0281567043526049
rico_transformer_add_0.9,0.369,0.35100000000000003,0.29600000000000004,0.38299999999999995,0.337,0.354,0.35100000000000003,0.40399999999999997,0.39299999999999996,0.41100000000000003,0.36489999999999995,0.032892096315072394
rico_transformer_mean_add_0.9,0.38,0.337,0.299,0.331,0.257,0.33899999999999997,0.376,0.35700000000000004,0.359,0.33399999999999996,0.33690000000000003,0.03485240307353282
conv_re_conv_se_add_0.9,0.32899999999999996,0.141,0.24600000000000002,0.324,0.31,0.26,0.311,0.311,0.299,0.271,0.2802,0.05336440761406426
rico_seq2seq_cat_0.1,0.34299999999999997,0.39899999999999997,0.391,0.39299999999999996,0.377,0.319,0.36700000000000005,0.36,0.39299999999999996,0.389,0.3731,0.02468380035569887
rico_transformer_cat_0.1,0.387,0.39299999999999996,0.363,0.451,0.389,0.419,0.359,0.419,0.397,0.324,0.3901,0.0339365584583941
rico_transformer_mean_cat_0.1,0.436,0.311,0.39399999999999996,0.424,0.469,0.389,0.281,0.313,0.321,0.40700000000000003,0.37450000000000006,0.06019011546757489
conv_re_conv_se_cat_0.1,0.297,0.391,0.426,0.35700000000000004,0.391,0.467,0.401,0.479,0.44,0.46,0.4109,0.05295177050864305
rico_seq2seq_cat_0.2,0.41100000000000003,0.366,0.414,0.287,0.341,0.27899999999999997,0.409,0.35600000000000004,0.423,0.273,0.3559,0.05620578262065212
rico_transformer_cat_0.2,0.42100000000000004,0.45,0.42100000000000004,0.474,0.369,0.433,0.39399999999999996,0.39299999999999996,0.304,0.42700000000000005,0.40859999999999996,0.04494263009660205
rico_transformer_mean_cat_0.2,0.47,0.35100000000000003,0.391,0.40299999999999997,0.467,0.401,0.326,0.36700000000000005,0.386,0.47100000000000003,0.40329999999999994,0.04855316673503387
conv_re_conv_se_cat_0.2,0.44299999999999995,0.42,0.39899999999999997,0.42,0.27399999999999997,0.40399999999999997,0.326,0.48700000000000004,0.426,0.396,0.3995,0.0568124106159913
rico_seq2seq_cat_0.3,0.354,0.354,0.41700000000000004,0.391,0.38,0.39,0.319,0.313,0.38299999999999995,0.40399999999999997,0.3705,0.03291580167639853
rico_transformer_cat_0.3,0.38,0.423,0.473,0.41,0.45,0.47,0.396,0.42100000000000004,0.413,0.299,0.4135,0.047710061831860995
rico_transformer_mean_cat_0.3,0.446,0.35600000000000004,0.493,0.5,0.474,0.39299999999999996,0.473,0.43,0.499,0.45,0.4514,0.045095897817872516
conv_re_conv_se_cat_0.3,0.369,0.366,0.317,0.32899999999999996,0.364,0.34600000000000003,0.384,0.39899999999999997,0.29600000000000004,0.387,0.3557,0.03142626290222876
rico_seq2seq_cat_0.4,0.299,0.4,0.444,0.43,0.451,0.331,0.354,0.386,0.42700000000000005,0.426,0.39480000000000004,0.048831956749653196
rico_transformer_cat_0.4,0.469,0.40299999999999997,0.449,0.397,0.45399999999999996,0.451,0.423,0.389,0.379,0.406,0.422,0.02997332147093477
rico_transformer_mean_cat_0.4,0.423,0.40299999999999997,0.507,0.42100000000000004,0.434,0.41700000000000004,0.46399999999999997,0.441,0.44299999999999995,0.461,0.44140000000000007,0.028426044395940847
conv_re_conv_se_cat_0.4,0.363,0.349,0.321,0.306,0.36700000000000005,0.284,0.36,0.439,0.377,0.341,0.35070000000000007,0.040519254682187825
